source,name,address,rating,reviews,info
2GIS,Sabyr stroy,"Қазыбек би көшесі, 41/1, Астана",3.8,12 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Кокше строй,"Е 915 көшесі, 13, Астана",4.7,39 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары
2GIS,Jana Qoyma,,5,52 баға,"Құрылыс материалдары Бөгенбай батыр даңғылы, 83/6, Астана Құрылыс материалдары"
2GIS,Ai-Tools,,4.9,192 баға,"Компания по прокату и продаже инструментов Әлмұқан Сембинов көшесі, 20/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Қажетмаркет,,4.8,319 баға,"Магазин строительных материалов Ғабиден Мұстафин көшесі, 15/1, Астана Құрылыс материалдары"
2GIS,707 мелочей,,4.7,191 баға,"Құрылыс материалдары Еділ көшесі, 26, Астана Құрылыс материалдары · Жеткізу"
2GIS,Bereke,,4.8,54 баға,"Құрылыс материалдары Е 669 көшесі, 4, Астана Құрылыс материалдары"
2GIS,Stroydom,,4.8,72 баға,"Магазин строительных материалов Бекетай көшесі, 5/3, Астана Құрылыс материалдары"
2GIS,Дос прораб,,,,"Құрылыс материалдары Көше Е-36, 6, Астана Құрылыс материалдары"
2GIS,СтройБро,,4.9,55 баға,"Строительный магазин Е 882 көшесі, 15Б, Астана Құрылыс материалдары"
2GIS,Stemo KZ,,4.5,173 баға,"Электр тауарлар дүкені Күйші Дина көшесі, 37, Астана Құрылыс материалдары"
2GIS,Мини строймаркет,,4.5,151 баға,"Құрылыс материалдары Тәуелсіздік даңғылы, 24а, Астана Құрылыс материалдары"
2GIS,NovaStroy,"Ахмет Байтұрсынұлы көшесі, 53, Астана",4.7,299 баға,Құрылыс материалдары дүкені ​​3 филиал Құрылыс материалдары Құрылыс пен жөндеуге арналған 10 000-нан астам өнім бәсекеге қабілетті Жарнама Instagram-н...
2GIS,Домовёнок,,4.4,185 баға,"Дүкен Ықылас Дүкенұлы көшесі, 11, Астана Құрылыс материалдары"
2GIS,Алан-С Robatti,,4.6,148 баға,"Магазин обоев и ламината Константин Циолковский көшесі, 4, Астана Құрылыс материалдары"
2GIS,Алтын Ағаш Астана,,4.3,142 баға,"Көтерме-бөлшек компаниясы Созақ тұйық көшесі, 4, Астана Құрылыс материалдары · Жеткізу"
2GIS,Авангард Снаб,"Шара Жиенқұлова көшесі, 1, Астана",4.6,61 баға,Арнайы киім және құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары Жарқын қуанышты Құрбан айт мерекесі құтты болсын 27 мамыр демалы күні ​Жа...
2GIS,BG Company,,2.1,7 баға,"Магазин стройматериалов Тұран даңғылы, 83/2, Астана Құрылыс материалдары · Жеткізу"
2GIS,Ai Stroy Shop,,4.6,86 баға,"Строительный магазин Жұмекен Нәжімеденов көшесі, 26/1, Астана Құрылыс материалдары"
2GIS,Папа Молодец,,4.4,97 баға,"Магазин строительных материалов Ілияс Омаров көшесі, 21, Астана Құрылыс материалдары"
2GIS,Monolit,,4.5,27 баға,"Строительный магазин Е-321 көшесі, 6/2, Астана Құрылыс материалдары · Жеткізу"
2GIS,Бекіту Құрылыс,,4.8,63 баға,"Құрылыс материалдары Жанкент көшесі, 1, Астана Құрылыс материалдары"
2GIS,Қамқор Строй,"Ұлы Дала даңғылы, 10, Астана",4.5,12 баға,Строительный магазин ​​2 филиал Құрылыс материалдары
2GIS,Hoko Market,"Бөгенбай батыр даңғылы, 56, Астана",3.3,77 баға,Көп бейінді дүкен ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Adal Stroy,,5,75 баға,"Құрылыс материалдары Е 117 көшесі, 40, Астана Құрылыс материалдары"
2GIS,Строительные смеси у Ербола,,5,59 баға,"Құрылыс материалдары Ермек Серкебаев көшесі, 7/2, Астана Құрылыс материалдары · Жеткізу 37 минуттан кейін жабылады"
2GIS,Q-Stroy,"Шәмші Қалдаяқов көшесі, 16, Астана",,,Магазин строительных материалов ​​2 филиал Құрылыс материалдары ПРОРАБ ПЕН ЖИНАҚТАУШЫЛАРҒА ТӨМЕН БАҒАЛАР. ОПТОМ БАҒАЛАР! Жарнама Қоңырау шалу
2GIS,BK Group,"Жұмекен Нәжімеденов көшесі, 28/1, Астана",5,33 баға,Строительный магазин ​​4 филиал Құрылыс материалдары · Жеткізу
2GIS,Er Stroy,,4.3,60 баға,"Құрылыс материалдары Мәңгілік Ел даңғылы, 68Б, Астана Құрылыс материалдары"
2GIS,zubr01.kz,,4.7,90 баға,"Магазин ручных и электроинструментов Шәкәрім Құдайбердыұлы даңғылы, 14, Астана Құрылыс материалдары"
2GIS,Жан-Строй,,4.8,112 баға,"Құрылыс материалдары Е-430 көшесі, 3, Астана Құрылыс материалдары · Жеткізу"
2GIS,KazBOLT,,5,22 баға,"Құрылыс материалдары Бақтыораз Бейсекбаев көшесі, 18Б, Астана Құрылыс материалдары · Жеткізу"
2GIS,Кокше строй,"Е-429 көшесі, 14/1, Астана",4.8,35 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары
2GIS,BK Group,"Е-429 көшесі, 24, Астана",5,42 баға,Строительный магазин ​​4 филиал Құрылыс материалдары · Жеткізу
2GIS,Бәрібар,"Е 181 көшесі, 1, Астана",4.8,53 баға,Строительный магазин ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,СтройBro,,4.6,15 баға,"Құрылыс материалдары Қазыбек би көшесі, 41/1, Астана Құрылыс материалдары"
2GIS,Мир Строительных Материалов,,4.9,194 баға,"Құрылыс материалдары Ырғыз көшесі, 3/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Yontem Yapi.kz,,4.8,46 баға,"Сауда компаниясы Орхон көшесі, 52, Астана Құрылыс материалдары · Жеткізу"
2GIS,Галерея Крепежа,,4.7,30 баға,"Құрылыс материалдары Әлмұқан Сембинов көшесі, 28/9, Астана Құрылыс материалдары · Жеткізу"
2GIS,Жетісу,,4.7,78 баға,"Строительный магазин Е 511 көшесі, 25, Астана Құрылыс материалдары · Жеткізу"
2GIS,Магазин сантехники и строительных материалов,"Көшесі Жәнібек Тархан, 9, Астана",4.5,147 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,AiSun,,5,59 баға,"Многопрофильный магазин Е 117 көшесі, 42, Астана Құрылыс материалдары · Жеткізу"
2GIS,Malyar.kz,,4.8,43 баға,"Құрылыс материалдары 1-ші Алматы көшесі, 45а, Астана Құрылыс материалдары · Жеткізу"
2GIS,Ecoton,"Тайбурыл көшесі, 42/5, Астана",4.3,128 баға,Завод по производству автоклавного газоблока ​​2 филиал Құрылыс материалдары · Жеткізу 37 минуттан кейін жабылады
2GIS,Белый Дом,,4.6,11 баға,"Лак және бояу жасау зауыты Александр Пушкин көшесі, 35, Астана Құрылыс материалдары · Жеткізу 37 минуттан кейін жабылады"
2GIS,BMS Company,,3.9,13 баға,"Құрылыс материалдары Бақтыораз Бейсекбаев көшесі, 24/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Decor KZ,"Шара Жиенқұлова көшесі, 24/2, Астана",4.5,49 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Qural-Saiman,"Бекетай көшесі, 10, Астана",4.8,422 баға,Компания по прокату и продаже электроинструментов ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Molotok,,2.4,269 баға,"Құрылыс дүкені Шәймерден Қосшығұлұлы көшесі, 25, Астана Құрылыс материалдары"
2GIS,ТРИТОН КРОВЛЯ,,4,46 баға,"Жаппа мен қасбет зауыты Орлыкөл көшесі, 14, Астана Құрылыс материалдары · Жеткізу"
2GIS,Bereke stroy,"Шыңғыс Айтматов көшесі, 77/8, Астана",4.8,166 баға,Строительный магазин ​​3 филиал Құрылыс материалдары · Жеткізу
2GIS,Кокше строй,"Е 511 көшесі, 25, Астана",5,15 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары
2GIS,Кірпіш,,5,22 баға,"Магазин стройматериалов Жұмекен Нәжімеденов көшесі, 52а, Астана Құрылыс материалдары"
2GIS,Азия Норд,,5,51 баға,"Құрылыс материалдары дүкені Орлыкөл көшесі, 9/3, Астана Құрылыс материалдары · Жеткізу"
2GIS,Амир строй,,3.7,9 баға,"Құрылыс материалдары Е-429 көшесі, 24, Астана Құрылыс материалдары · Жеткізу"
2GIS,Бәрібар,"Е-429 көшесі, 14, Астана",4.7,25 баға,Строительный магазин ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Lego stroy,,,,"Құрылыс материалдары Эталон, Бөгенбай батыр даңғылы, 6/5, Астана Құрылыс материалдары · Жеткізу"
2GIS,Кокше строй,"Е 103 көшесі, 5а, Астана",5,5 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары
2GIS,Стройкрепеж,,4.9,53 баға,"Құрылыс материалдары Ғабиден Мұстафин көшесі, 24, Астана Құрылыс материалдары · Жеткізу"
2GIS,Хозмаркет,,4.7,53 баға,"Шаруашылық тауарларын сататын дүкен Сәкен Сейфуллин көшесі, 33, Астана Құрылыс материалдары"
2GIS,Авангард Снаб,"Егемен Қазақстан газеті көшесі, 3/4, Астана",5,66 баға,Арнайы киім және құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары · Жеткізу Жарқын қуанышты Құрбан айт мерекесі құтты болсын 27 мамыр демал...
2GIS,Q&B Stroy,,5,40 баға,"Құрылыс материалдары Сапа, Шара Жиенқұлова көшесі, 9/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Магазин строительных материалов,,5,34 баға,"Құрылыс материалдары Шарбақты көшесі, 12/1, Астана Құрылыс материалдары"
2GIS,Hozmag,,4.9,113 баға,"Құрылыс материалдары Кенжебек Күмісбеков көшесі, 8, Астана Құрылыс материалдары"
2GIS,01stroy,"Сығанақ көшесі, 28, Астана",5,62 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу Уақытша жұмыс істемейді
2GIS,Qurylys,,4.7,199 баға,"Құрылыс дүкені Ахмет Байтұрсынұлы көшесі, 53/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Masterki,,3.3,16 баға,"Құрылыс материалдары дүкені Эталон, Бөгенбай батыр даңғылы, 6/5, Астана Құрылыс материалдары · Жеткізу"
2GIS,СтройКа,,4.9,112 баға,"Құрылыс дүкені Иманжүсіп Құтпанұлы көшесі, 33, Астана Құрылыс материалдары"
2GIS,СтройСнаб-Б,"Аманжол Бөлекпаев көшесі, 19, Астана",4.6,122 баға,Құрылыс материалдары дүкені ​​2 филиал Құрылыс материалдары
2GIS,Prime,,5,11 баға,"Магазин стройматериалов Темірбек Жүргенов көшесі, 17а, Астана Құрылыс материалдары"
2GIS,Expert,,4.7,126 баға,"Құрылыс материалдары Жұмекен Нәжімеденов көшесі, 44а, Астана Құрылыс материалдары"
2GIS,Астана Құрылыс,,4.4,81 баға,"Строительный магазин Ахмет Байтұрсынұлы көшесі, 14, Астана Құрылыс материалдары"
2GIS,Строй-ДК Астана,,4.1,20 баға,"Компания Абылай хан даңғылы, 64, Астана Құрылыс материалдары · Жеткізу"
2GIS,Global Stroy,,4.3,187 баға,"Құрылыс материалдары Қайрат Рысқұлбеков көшесі, 29, Астана Құрылыс материалдары"
2GIS,CITY SHANS,,5,26 баға,"Магазин снабжения Толстой көшесі, 38, Астана Құрылыс материалдары · Жеткізу"
2GIS,СтройМагБро,"Е-429 көшесі, 14/2, Астана",4.7,7 баға,Құрылыс материалдары дүкені ​​5 филиал Құрылыс материалдары · Жеткізу
2GIS,BS Stroy KAZ,,4.8,37 баға,"Құрылыс материалдары Шара Жиенқұлова көшесі, 6, Астана Құрылыс материалдары · Жеткізу"
2GIS,ACM Partners,"Шара Жиенқұлова көшесі, 8/8, Астана",4.8,60 баға,Официальный дистрибьютор Bergauf ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Технониколь,,4.8,392 баға,"Сауда компаниясы Придорожная көшесі, 8/2, Астана Құрылыс материалдары · Жеткізу"
2GIS,ЖанАйСтрой,,4.6,18 баға,"Құрылыс материалдары Ахмет Байтұрсынұлы көшесі, 16/3, Астана Құрылыс материалдары"
2GIS,Ас Мастер,"Жанкент көшесі, 96, Астана",4.6,85 баға,Магазин электроинструментов ​​2 филиал Құрылыс материалдары Қаладағы төмен бағалар! Үлкен жеңілдіктер мен сыйлықтар. Бөліп төлеу ​Жарнама​*1.06.20–30....
2GIS,Zema,,4.4,26 баға,"Строительный магазин Айнакөл көшесі, 26/1а, Астана Құрылыс материалдары · Жеткізу"
2GIS,Асхат-Ф,,5,49 баға,"Құрылыс материалдары Бөгенбай батыр даңғылы, 85а, Астана Құрылыс материалдары · Жеткізу"
2GIS,DoStroi,"А 52 көшесі, 10, Астана",5,24 баға,Магазин строительных товаров ​​2 филиал Құрылыс материалдары
2GIS,Аманат Строй,,4.3,29 баға,"Құрылыс материалдары Е 103 көшесі, 3, Астана Құрылыс материалдары"
2GIS,Orgstroy,,5,53 баға,"Құрылыс материалдары Шарбақты көшесі, 12/9, Астана Құрылыс материалдары · Жеткізу"
2GIS,Nurber-3,,4.9,83 баға,"Құрылыс дүкені Нұрғиса Тілендиев даңғылы, 24 ст3, Астана Құрылыс материалдары"
2GIS,Тұлпар,"Бейбарыс Сұлтан көшесі, 6/3, Астана",4.2,128 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Jadi Stroy,"Ұлы Дала даңғылы, 27, Астана",4.3,125 баға,Құрылыс материалдары ​​4 филиал Құрылыс материалдары Уақытша жұмыс істемейді Сүйікті құрылыс дүкендерінің желісі Жарнама Instagram
2GIS,Dos Stroy Snab,,5,7 баға,"Компания по оптовой продаже стройматериалов и хозтоваров Сарын көшесі, 63/2а, Астана Құрылыс материалдары"
2GIS,Trade-M-A,,5,14 баға,"Қойма Константин Циолковский көшесі, 11/4, Астана Құрылыс материалдары · Жеткізу"
2GIS,Alista,,4.3,12 баға,"Құрылыс материалдары Шарбақты көшесі, 12/3, Астана Құрылыс материалдары · Жеткізу"
2GIS,Все для дома,,4.9,51 баға,"Магазин товаров для дома Ахмет Байтұрсынұлы көшесі, 40, Астана Құрылыс материалдары"
2GIS,"Магазин сантехники, товаров для дома и инструментов",,4.7,32 баға,"Құрылыс материалдары Кенесары көшесі, 70, Астана Құрылыс материалдары"
2GIS,Көктем,,4.3,52 баға,"Строительно-хозяйственный магазин Мұқан Төлебаев көшесі, 5, Астана Құрылыс материалдары"
2GIS,Строй Магазин №1,,5,12 баға,"Құрылыс материалдары Шідерті тұйық көшесі, 11, Астана Құрылыс материалдары · Жеткізу"
2GIS,UV Stroy,"Е-429 көшесі, 14/1, Астана",4.8,11 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,СтройМагБро,"Жұмекен Нәжімеденов көшесі, 15, Астана",4.4,38 баға,Құрылыс материалдары дүкені ​​5 филиал Құрылыс материалдары
2GIS,Adil Stroi,,4.7,43 баға,"Құрылыс материалдары Жұмекен Нәжімеденов көшесі, 52а, Астана Құрылыс материалдары"
2GIS,DoStroi,"А 52 көшесі, 8, Астана",4.9,98 баға,Магазин строительных товаров ​​2 филиал Құрылыс материалдары
2GIS,Decortools.kz,,5,8 баға,"Құрылыс материалдары Жаһанша Досмұхамедұлы көшесі, 20/6, Астана Құрылыс материалдары · Жеткізу"
2GIS,StroiMax,,4.9,120 баға,"Строительный магазин Жұмекен Нәжімеденов көшесі, 52а, Астана Құрылыс материалдары · Жеткізу"
2GIS,Alit,"Орлыкөл көшесі, 11/2, Астана",5,89 баға,Сату бөлімі ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Jadi Stroy,"Тұрар Рысқұлов көшесі, 16/2, Астана",4.5,142 баға,Құрылыс материалдары ​​4 филиал Құрылыс материалдары · Жеткізу Уақытша жұмыс істемейді Сүйікті құрылыс дүкендерінің желісі Жарнама Instagram
2GIS,АС Строй,,3.9,45 баға,"Көтерме-бөлшек компаниясы Көшесі Смагул Садвокасова, 1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Мир снабжения,,5,221 баға,"Құрылыс материалдары Шара Жиенқұлова көшесі, 11/3, Астана Құрылыс материалдары · Жеткізу"
2GIS,Кокше строй,"Ахмет Байтұрсынұлы көшесі, 30, Астана",4.6,37 баға,Магазин строительных товаров ​​8 филиал Құрылыс материалдары · Жеткізу
2GIS,AiS,,5,16 баға,"Строй маркет Ахмет Байтұрсынұлы көшесі, 61, Астана Құрылыс материалдары"
2GIS,Stroysnab Sk,"Абылай хан даңғылы, 52а, Астана",4.9,39 баға,Строительный магазин ​​2 филиал Құрылыс материалдары
2GIS,Бақ,"Шәймерден Қосшығұлұлы көшесі, 20, Астана",4.4,67 баға,Құрылыс материалдары дүкені ​​2 филиал Құрылыс материалдары
2GIS,Hilti,"Кендірлі көшесі, 5/1, Астана",4.1,26 баға,Сервистік орталық ​​2 филиал Құрылыс материалдары · Жеткізу 36 минуттан кейін жабылады
2GIS,AluanStroy,,5,95 баға,"Құрылыс материалдары Шарбақты көшесі, 3, Астана Құрылыс материалдары 36 минуттан кейін жабылады"
2GIS,Tm Stroy,,4.7,32 баға,"Құрылыс дүкені Бөгенбай батыр даңғылы, 16/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,СтройMix,,5,6 баға,"Строительный магазин Рақымжан Қошқарбаев даңғылы, 60в, Астана Құрылыс материалдары"
2GIS,Ақтан строй,,4.1,19 баға,"Магазин строительных материалов Ермек Серкебаев көшесі, 10/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Adal Kaz Group,,4.7,29 баға,"Өндірістік-сауда компаниясы Жетіген көшесі, 26Б, Астана Құрылыс материалдары · Жеткізу"
2GIS,Арқа Проект,,4.9,52 баға,"Компания по производству перчаток Ахмет Жұбанов көшесі, 29а, Астана Құрылыс материалдары · Жеткізу"
2GIS,Stroysnab Sk,"Бақтыораз Бейсекбаев көшесі, 23/1а киоск, Астана",5,33 баға,Строительный магазин ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Актек строймат,"Шара Жиенқұлова көшесі, 7/2а, Астана",5,10 баға,Офис ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Магазин инструментов и стройматериалов,,4.7,46 баға,"Құрылыс материалдары Жұмекен Нәжімеденов көшесі, 44, Астана Құрылыс материалдары · Жеткізу"
2GIS,Береке,,5,19 баға,"Строительный магазин Шәмші Қалдаяқов көшесі, 59а, Астана Құрылыс материалдары"
2GIS,01 Құрылыс,,4.7,9 баға,"Строительный магазин Е-779 көшесі, 32, Астана Құрылыс материалдары · Жеткізу"
2GIS,Asl-stroi,,5,7 баға,"Құрылыс материалдары 1-ші Алматы тұйық көше, 46/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,ЭлектроМастер,,3.9,22 баға,"Сауда компаниясы Айнакөл көшесі, 54, Астана Құрылыс материалдары · Жеткізу"
2GIS,Kahan Group,"Бесшатыр тұйық көшесі, 11в, Астана",4.8,58 баға,Шоурум ​​3 филиал Құрылыс материалдары
2GIS,Строй с нами,"Ықылас Дүкенұлы көшесі, 31/1, Астана",4.8,113 баға,Құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары · Жеткізу
2GIS,FamilyСтройMarket,,4.6,114 баға,"Құрылыс дүкені Е 319 көшесі, 2, Астана Құрылыс материалдары"
2GIS,СТРОЙ ПЛАЗА,"Қайым Мұхамедханов көшесі, 49/1, Астана",4.6,62 баға,"Құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары · Жеткізу Кірпіш, газды блок және тагы баска құрылыс материалдары арзан бағамен! Жарнама W..."
2GIS,1000 Мелочей,,4.8,40 баға,"Көпсалалы дүкен Антон Чехов көшесі, 43/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Магазин сантехники и строительных материалов,"Қайрат Рысқұлбеков көшесі, 8, Астана",4.9,33 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,КазМетСетка,,4.7,29 баға,"Құрылыс материалдары Ақсай көшесі, 9, Астана Құрылыс материалдары"
2GIS,Строительные системы Астана,,5,22 баға,"Официальный дилер Пеноплекс и Технониколь Жаңа жол көшесі, 2в, Астана Құрылыс материалдары · Жеткізу"
2GIS,Valcortrade,,,,"Құрылыс материалдары Қорғалжын тас жолы, 31а, Астана Құрылыс материалдары · Жеткізу"
2GIS,Тұлпар,"Бейбарыс Сұлтан көшесі, 25/1, Астана",4,121 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Astana Stroi Dekor,,5,16 баға,"Құрылыс материалдары Ермек Серкебаев көшесі, 36, Астана Құрылыс материалдары · Жеткізу"
2GIS,Кнавт-2017,,,,"Компания Әнуар Әлімжанов көшесі, 49, Астана Құрылыс материалдары"
2GIS,CTM Market,,5,20 баға,"Құрылыс материалдары Бөгенбай батыр даңғылы, 7/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Profil Lux,"Бөгенбай батыр даңғылы, 16/1, Астана",4.4,11 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Строй Маг,,4.4,184 баға,"Құрылыс материалдары Бейбарыс Сұлтан көшесі, 11, Астана Құрылыс материалдары · Жеткізу"
2GIS,Лидер Крепеж 2030,,4.6,11 баға,"Торговая компания Эталон, Бөгенбай батыр даңғылы, 6/5, Астана Құрылыс материалдары · Жеткізу"
2GIS,Imran,,5,12 баға,"Құрылыс материалдары Шарбақты көшесі, 12/3в, Астана Құрылыс материалдары"
2GIS,Стройторг,"Айнакөл көшесі, 26/1а, Астана",2.1,5 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Альянс Коммерц Метиз,,5,9 баға,"Құрылыс материалдары Әлмұқан Сембинов көшесі, 28, Астана Құрылыс материалдары · Жеткізу"
2GIS,KemelStroi,,3.4,23 баға,"Құрылыс дүкені Айнакөл көшесі, 27а, Астана Құрылыс материалдары · Жеткізу"
2GIS,На строй,,5,11 баға,"Строительный магазин Е 181 көшесі, 3, Астана Құрылыс материалдары"
2GIS,Qurylys construction 2021,,4.9,53 баға,"Құрылыс материалдары Сәкен Сейфуллин көшесі, 51b, Астана Құрылыс материалдары · Жеткізу"
2GIS,Барс,,4.2,88 баға,"Құрылыс дүкені Беласар көшесі, 127/2, Астана Құрылыс материалдары"
2GIS,Nur-Stroy,"Шарбақты көшесі, 12/3, Астана",5,28 баға,Строительный магазин ​​3 филиал Құрылыс материалдары · Жеткізу Құрғақ қоспаларға төмен бағалар Жарнама Тапсырыс беру
2GIS,Арыстан,,4.3,15 баға,"Құрылыс дүкені Айнакөл көшесі, 26/1а, Астана Құрылыс материалдары · Жеткізу"
2GIS,Рамазан строй,,5,15 баға,"Құрылыс материалдары Айнакөл көшесі, 26/1а, Астана Құрылыс материалдары · Жеткізу"
2GIS,StroyMarket PolyArt,,4.9,78 баға,"Құрылыс материалдары Ақан Сері көшесі, 18, Астана Құрылыс материалдары · Жеткізу"
2GIS,Sapa Trade Nursultan,,,,"Құрылыс тауарлары дүкені Сапа, Шара Жиенқұлова көшесі, 9, Астана Құрылыс материалдары · Жеткізу"
2GIS,Жайлылық,,4.2,205 баға,"Құрылыс дүкені Орманды алқап көшесі, 15, Қосшы, Косши городская администрация, Ақмола Құрылыс материалдары"
2GIS,Оптовая компания,,5,25 баға,"Құрылыс материалдары Ермек Серкебаев көшесі, 10/1, Астана Құрылыс материалдары"
2GIS,Министрой,,4.2,105 баға,"Строительный магазин Оқжетпес көшесі, 41, Астана Құрылыс материалдары"
2GIS,Alke Stroy,,5,4 баға,"Оптовый склад стройматериалов и сантехники Шолохов көшесі, 15а, Астана Құрылыс материалдары"
2GIS,Astanastroy,,4.8,34 баға,"Құрылыс материалдары Шарбақты көшесі, 12/3, Астана Құрылыс материалдары · Жеткізу"
2GIS,Славянка,,4.5,83 баға,"Универсальный магазин Беласар көшесі, 2/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Строй маркет,,5,31 баға,"Строительный магазин Жидебай көшесі, 2, Астана Құрылыс материалдары · Жеткізу"
2GIS,Стройторг,"Отыкен көшесі, 44а, Астана",3.4,29 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Astana interior,,,,"Құрылыс материалдары Эталон, Бөгенбай батыр даңғылы, 6/5, Астана Құрылыс материалдары · Жеткізу"
2GIS,Bolmart,,4.2,110 баға,"Оптово-розничная компания по продаже строительных материалов и инструментов Исатай батыр көшесі, 30, Астана Құрылыс материалдары · Жеткізу"
2GIS,TechInStroy,,4.2,39 баға,"Электр құралдар мен құрылыс материалдарынның дүкені Қараменде би Шақаұлы көшесі, 4, Астана Құрылыс материалдары · Жеткізу"
2GIS,Коркем,,4.5,85 баға,"Көпсалалы дүкен Ақан Сері көшесі, 16, Астана Құрылыс материалдары"
2GIS,Стройкреп,,5,10 баға,"Құрылыс материалдары Астана-Қарағанды трассасы, 1/1г, Астана Құрылыс материалдары · Жеткізу"
2GIS,Akveduk,,2.5,25 баға,"Строительный магазин Әліби Жангелдин көшесі, 3, Астана Құрылыс материалдары"
2GIS,Строй Век,,4.8,121 баға,"Сауда компаниясы Ілияс Есенберлин көшесі, 16, Астана Құрылыс материалдары · Жеткізу"
2GIS,Gos-Snab LLC,,,,"Онлайн-магазин Отырар көшесі, 2/1, Астана Құрылыс материалдары · Жеткізу 35 минуттан кейін жабылады"
2GIS,Магазин строительных товаров,,5,2 баға,"Құрылыс материалдары 1-ші Алматы көшесі, 41/2а, Астана Құрылыс материалдары · Жеткізу"
2GIS,Диана-Астана,,5,15 баға,"Шатыр материалдар дүкені Ахмет Жұбанов көшесі, 31, Астана Құрылыс материалдары · Жеткізу 35 минуттан кейін жабылады"
2GIS,Интер Стиль KZ,,,,"Лак-бояу материалдары дүкені Александр Пушкин көшесі, 41, Астана Құрылыс материалдары · Жеткізу"
2GIS,Мейірбек,"Сафуан Шаймерденов көшесі, 4/1, Астана",4.7,66 баға,Құрылыс материалдары ​​3 филиал Құрылыс материалдары Барлық құрылыс материалдары көтерме бағамен! Жарнама Бағаны біліңіз
2GIS,double-shop.kz,,4.7,59 баға,"Құрылыс материалдары Григорий Потанин көшесі, 4, Астана Құрылыс материалдары"
2GIS,masterstroi.kz,"Сағадат Нұрмағамбетов көшесі, 27, Астана",4.8,283 баға,"Құрылыс материалдары ​​4 филиал Құрылыс материалдары Шілдеде ашылады Жөндеуге бәрі жақын — адал баға, жылдармен тексерілген сапа Жарнама Қоңырау шалу"
2GIS,Құрылыс материалдар бутигі,,4.5,73 баға,"Құрылыс материалдары Гульжан, Абылай хан даңғылы, 34, Астана Құрылыс материалдары"
2GIS,Беркат,,4.3,51 баға,"Құрылыс және шаруашылық тауарлары дүкені Рақымжан Қошқарбаев даңғылы, 80, Астана Құрылыс материалдары"
2GIS,Строй дом,,5,28 баға,"Құрылыс материалдары Шарбақты көшесі, 12/3, Астана Құрылыс материалдары · Жеткізу"
2GIS,Trade House Group,,5,12 баға,"Құрылыс материалдары Ақжол даңғылы, 112, Астана Құрылыс материалдары · Жеткізу"
2GIS,MegaWin Астана,,2.4,4 баға,"Құрылыс материалдары Бақтыораз Бейсекбаев көшесі, 24/1, Астана Құрылыс материалдары · Жеткізу"
2GIS,Адал строй,,,,"Магазин стройматериалов Ілияс Есенберлин көшесі, 22, Астана Құрылыс материалдары"
2GIS,Айтас Инвест,,,,"Көтерме-бөлшек компаниясы Қобда тұйық көшесі, 8, Астана Құрылыс материалдары · Жеткізу"
