source,name,address,rating,reviews,info
2GIS,StroyMarket S,,5,65 баға,"Құрылыс материалдары Қайым Мұхамедханов көшесі, 6, Астана Құрылыс материалдары"
2GIS,Шебер,,5,36 баға,"Магазин стройматериалов и аренда строителных инструментов Е 509 көшесі, 9, Астана Құрылыс материалдары Құрылыс заттарының барлық түрлері! Жарнама What..."
2GIS,Уют,"Кенен Әзірбаев көшесі, 6/5, Астана",4.7,526 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары
2GIS,Шаңырақ,"Достық көшесі, 8/4, Астана",,,Строительный магазин ​​3 филиал Құрылыс материалдары Ашылуы жақында Құрылыс заттарының барлық түрлері! Жарнама Қоңырау шалу
2GIS,Big stroi,"Тәуелсіздік даңғылы, 58, Астана",4.8,57 баға,"Строительный супермаркет ​​2 филиал Құрылыс материалдары Құрылыс материалдарының кең таңдауы, ТЕГІН жеткізу!⚒️ Жарнама WhatsApp-қа жазу"
2GIS,Boyau House Astana,"Әлихан Бөкейхан көшесі, 29, Астана",4.9,118 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,Remont,,5,136 баға,"Строительный магазин Төле би көшесі, 65, Астана Құрылыс материалдары · Жеткізу"
2GIS,СТРОЙ ПЛАЗА,"Қорғалжын тас жолы, 20Б, Астана",4.8,406 баға,"Құрылыс материалдары дүкені ​​4 филиал Құрылыс материалдары Кірпіш, газды блок және тагы баска құрылыс материалдары арзан бағамен! Жарнама WhatsApp-қа..."
2GIS,Олжа,,4.9,199 баға,"Магазин строительных материалов Қобыланды батыр көшесі, 81, Қосшы, Косши городская администрация, Ақмола Құрылыс материалдары · Жеткізу"
2GIS,Крепеж плюс,,5,55 баға,"Құрылыс материалдары Александр Пушкин көшесі, 40, Астана Құрылыс материалдары Кез келген жағдайға арналған жоғары берікті бекіткіштер. Жарнама Қоңырау..."
2GIS,Сайман строй,,4.8,67 баға,"Құрылыс материалдары Мухаммед Али Джинна көшесі, 15, Астана Құрылыс материалдары · Жеткізу қол жетімді бағамен құрылыс материалдарының кең ассортимент..."
2GIS,Строй сити,"Жошы хан көшесі, 14/1, Астана",4.7,26 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу Жөндеу және құрылыс жұмыстарының барлығы есікке дейін жеткіземіз! Жарнама WhatsApp-қа жазу
2GIS,Bazaar,"Тұран даңғылы, 39а, Астана",4.9,1721 баға,Магазин товаров для дома ​​2 филиал Құрылыс материалдары
2GIS,СК,,4.8,249 баға,"Строительный магазин Қайым Мұхамедханов көшесі, 6а, Астана Құрылыс материалдары"
2GIS,Құрал жабдық,"Қордай көшесі, 79, Астана",4.9,369 баға,Құрылыс және тұрмыстық тауарлар дүкені ​​2 филиал Құрылыс материалдары 2ГИС жаңа клиенттеріне 5% жеңілдік. Жарнама Қоңырау шалу
2GIS,Муравей,"Санжар Асфендияров көшесі, 9, Астана",5,180 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары 2ГИСтен жаңа клиенттерге 5%! Құрылыс материалдарының үлкен таңдауы!⚒️ Жарнама WhatsApp-қа жазу
2GIS,Sapa.kz,,4.8,156 баға,"Строительный магазин Тұран даңғылы, 57/3, Астана Құрылыс материалдары"
2GIS,Ас Мастер,"Жанкент көшесі, 96/1а, Астана",4.9,168 баға,Магазин электроинструментов ​​2 филиал Құрылыс материалдары · Жеткізу Қаладағы төмен бағалар! Үлкен жеңілдіктер мен сыйлықтар. Бөліп төлеу ​Жарнама​*1...
2GIS,Ситиснаб,,4.9,62 баға,"Құрылыс дүкені Орлыкөл көшесі, 11/4, Астана Құрылыс материалдары · Жеткізу"
2GIS,Dynasty Stroy,,4,108 баға,"​строительный магазин Түркістан көшесі, 34, Астана Құрылыс материалдары Все для стройки и ремонта — широкий выбор, низкие цены! Жарнама"
2GIS,TSSP,,4.6,785 баға,"Вosch, Makita, Alteco ресми өкілі Ақжол даңғылы, 65, Астана Құрылыс материалдары · Жеткізу"
2GIS,BigSnab,,4.6,107 баға,"Құрылыс материалдары Қасым Аманжолов көшесі, 20, Астана Құрылыс материалдары Кең ассортименті бар үлкен құрылыс дүкені! БӨЛІП ТӨЛЕУ / RED Жарнама What..."
2GIS,Bai Stroy,,5,21 баға,"Құрылыс материалдары Ақкемер көшесі, 2/2, Астана Құрылыс материалдары Сізге жақын құрылыс материалдары ең жақсы бағамен! Жарнама WhatsApp-қа жазу"
2GIS,12 ай,"Абай даңғылы, 94а, Астана",4.3,3429 баға,Құрылыс дүкені ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,1000 мелочей,,3.7,708 баға,"Көп бейінді дүкен Сауран көшесі, 4, Астана Құрылыс материалдары"
2GIS,Комфорт,,4.7,716 баға,"Сауда-құрылыс орталығы Сауран көшесі, 8, Астана Құрылыс материалдары · Жеткізу"
2GIS,СтройДекор,"Керей, Жәнібек хандар көшесі, 14/2, Астана",4.9,565 баға,Өңдеу материалдар дүкені ​​3 филиал Құрылыс материалдары · Жеткізу
2GIS,Құрылыс материалдары дүкені,,4.6,175 баға,"Құрылыс материалдары Сауран көшесі, 8, Астана Құрылыс материалдары"
2GIS,Строймаркет,,4.7,170 баға,"Құрылыс материалдары дүкені Алматы көшесі, 5, Астана Құрылыс материалдары"
2GIS,Decor KZ,"Мәңгілік Ел даңғылы, 36, Астана",4.9,94 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,Sarmat Stroy,,4.8,292 баға,"Құрылыс дүкені Сауран көшесі, 3/1, Астана Құрылыс материалдары"
2GIS,Santex Stroi,,4.9,96 баға,"Құрылыс материалдары Мәңгілік Ел даңғылы, 19/2, Астана Құрылыс материалдары"
2GIS,Bazaar,"Сығанақ көшесі, 24, Астана",4.9,1665 баға,Магазин товаров для дома ​​2 филиал Құрылыс материалдары
2GIS,Строитель,"Әлихан Бөкейхан көшесі, 16/3, Астана",4.6,81 баға,Құрылыс материалдары ​​2 филиал Құрылыс материалдары
2GIS,ACM Partners,"Әлихан Бөкейхан көшесі, 16, Астана",5,30 баға,Шоурум красок ​​2 филиал Құрылыс материалдары · Жеткізу
2GIS,​Магазин товаров для дома,,4.9,43 баға,"Құрылыс материалдары Мәңгілік Ел даңғылы, 19/2, Астана Құрылыс материалдары · Жеткізу"
